"year","area","housing_units_total","housing_units_rental","housing_units_other","median_rent","population_total","population_poverty_below","population_poverty_above","population_race_white","population_race_black","population_race_latinx","population_race_asian","population_race_other"
"2013-2017 5-year estimates",41,14275.000,9191.000,5084.000,"972.00 - 1280.00",26827.000,6227.000,20600.000,12453.000,7366.000,2246.000,3559.000,1203.000
"2013-2017 5-year estimates",42,11947.000,8313.000,3634.000,"561.00 - 1083.00",23091.000,8861.000,14231.000,2063.000,19020.000,711.000,761.000,535.000
"2013-2017 5-year estimates",43,29287.000,20271.000,9016.000,"739.00 - 1205.00",50595.000,19533.000,31061.000,1447.000,47574.000,644.000,220.000,711.000
"2013-2017 5-year estimates",44,16725.000,9196.000,7529.000,"783.00 - 1391.00",31071.000,8299.000,22772.000,509.000,29780.000,385.000,111.000,286.000
"2013-2017 5-year estimates",45,4574.000,1498.000,3076.000,"765.00 - 960.00",10034.000,1925.000,8109.000,61.000,9754.000,66.000,38.000,115.000
"2013-2017 5-year estimates",46,14122.000,6627.000,7495.000,"355.00 - 988.00",28263.000,8516.000,19747.000,791.000,21317.000,5885.000,15.000,255.000
"2013-2017 5-year estimates",47,1315.000,580.000,735.000,"748.00 - 748.00",2254.000,397.000,1857.000,10.000,2197.000,33.000,0.000,14.000
"2013-2017 5-year estimates",48,6044.000,1418.000,4626.000,"787.00 - 1076.00",13188.000,2112.000,11076.000,219.000,12426.000,457.000,13.000,73.000
"2013-2017 5-year estimates",49,17851.000,7220.000,10631.000,"829.00 - 1587.00",42433.000,11359.000,31074.000,456.000,40849.000,548.000,126.000,454.000
"2013-2017 5-year estimates",50,3480.000,1787.000,1693.000,"842.00 - 929.00",6613.000,1425.000,5188.000,680.000,5495.000,307.000,10.000,121.000
"2013-2017 5-year estimates",51,5841.000,2144.000,3697.000,"376.00 - 1112.00",14614.000,4222.000,10392.000,600.000,9360.000,4591.000,1.000,62.000
"2013-2017 5-year estimates",52,7817.000,2331.000,5486.000,"696.00 - 1005.00",23771.000,4981.000,18790.000,3850.000,695.000,19117.000,65.000,44.000
